ID,x,y,H,S,V,C,Clay,Sand,Silt
A1,5,85,135,13,96,16.7178452,27.85051178,7.87907641,64.27041181
A2,15,85,144,12,104,15.27533174,25.75304668,8.714647045,65.53230628
A3,25,85,152,11,113,15.89399934,24.57695407,11.29465485,64.12839108
A4,35,85,170,6,115,12.64152527,25.16462841,8.200062716,66.63530887
A5,45,85,233,4,112,11.53937578,25.15279737,8.635010186,66.21219245
A6,55,85,0,9,113,11.65742278,25.07374631,7.32546706,67.60078663
A7,65,85,8,11,111,12.7105391,24.45155393,8.897014016,66.65143205
A8,75,85,233,8,115,10.33366799,24.59609356,10.29659995,65.10730649
A9,85,85,226,6,115,13.71355653,25.33532042,10.49842689,64.16625269
A10,95,85,240,6,110,13.14303756,19.4740012,18.62410493,61.90189386
B1,5,75,25,11,115,5.573134422,27.2766323,9.722222222,63.00114548
B2,15,75,14,6,113,5.59687674,28.36363636,10.22222222,61.41414141
B3,25,75,16,11,111,5.403140187,26.16902617,14.12841413,59.7025597
B4,35,75,18,15,114,5.460622907,25.42372881,11.43236956,63.14390163
B5,45,75,16,19,128,3.923019469,25.40716612,12.70358306,61.88925081
B6,55,75,19,33,128,3.907856643,22.65156562,6.284699089,71.06373529
B7,65,75,18,39,117,5.470889807,20.40337711,11.58536585,68.01125704
B8,75,75,16,27,119,5.804948807,20.83333333,7.726692209,71.43997446
B9,85,75,16,32,119,5.274088979,21.13484953,7.649896623,71.21525385
B10,95,75,19,36,119,6.662245989,21.3706706,9.031360026,69.59796938
C1,5,65,24,24,124,2.810504436,29.38022732,8.428050611,62.19172207
C2,15,65,24,25,119,3.445808887,27.54322477,9.797614261,62.65916097
C3,25,65,22,31,120,3.002372682,27.51522789,13.32353147,59.16124064
C4,35,65,19,30,127,3.047550321,25.29437418,16.19421428,58.51141154
C5,45,65,19,33,131,2.466554493,27.09677419,12.3297491,60.5734767
C6,55,65,20,48,132,2.281689644,26.85994457,12.38541889,60.75463654
C7,65,65,20,54,126,2.300963104,24.54123369,14.28992557,61.16884074
C8,75,65,21,49,123,2.737750411,26.21885157,12.38714337,61.39400506
C9,85,65,21,48,127,2.717640102,25.66585956,13.39790153,60.9362389
C10,95,65,20,50,117,3.399143815,24.4364862,12.36570466,63.19780914
D1,5,55,26,34,117,2.066707611,29.71707714,11.9343239,58.34859896
D2,15,55,22,36,120,2.655573487,29.93643633,15.38514114,54.67842253
D3,25,55,23,38,120,2.722386122,27.81316348,16.985138,55.20169851
D4,35,55,23,45,122,2.166447192,28.73446097,14.54384892,56.7216901
D5,45,55,22,52,122,1.933653951,28.05247225,15.10258998,56.84493777
D6,55,55,21,61,125,1.751472652,27.29124236,17.04005431,55.66870333
D7,65,55,20,61,128,2.018473595,29.25648922,13.18375128,57.5597595
D8,75,55,21,58,126,1.936849356,25.68883364,16.64940267,57.66176369
D9,85,55,21,61,125,2.659622431,28.21762079,14.9411287,56.84125051
D10,95,55,22,55,114,3.278706968,24.15753147,13.92610637,61.91636216
E1,5,45,25,44,104,2.110363096,29.89130435,15.41248606,54.69620959
E2,15,45,23,46,110,3.312749863,28.15177479,20.84863321,50.999592
E3,25,45,22,47,112,2.401778549,29.27450148,22.64177627,48.08372225
E4,35,45,21,51,118,1.956131011,29.05874921,21.1061978,49.83505299
E5,45,45,22,57,119,1.943544745,29.41176471,21.923842,48.66439329
E6,55,45,19,56,126,1.969091147,30.57471264,20.76628352,48.65900383
E7,65,45,21,63,121,2.268198729,27.414864,24.03798101,48.54715499
E8,75,45,19,63,121,2.15817526,28.55153203,23.86258124,47.58588672
E9,85,45,21,65,117,1.960457414,27.55058115,26.17305209,46.27636677
E10,95,45,21,61,108,2.717148364,27.26885386,24.08748757,48.64365857
F1,5,35,22,57,102,1.732713729,23.68972746,34.38155136,41.92872117
F2,15,35,21,60,109,1.906794161,25.00578838,35.63324844,39.36096319
F3,25,35,21,61,108,2.778075933,24.57590257,38.81397709,36.61012034
F4,35,35,19,67,114,2.452744246,25.26906879,37.68522851,37.0457027
F5,45,35,19,68,115,1.570063382,24.94929006,38.20148749,36.84922245
F6,55,35,19,71,124,2.345879078,25.00529773,35.79148125,39.20322102
F7,65,35,19,71,121,1.66780293,27.08994709,33.05114638,39.85890653
F8,75,35,19,65,121,1.88993454,27.88671024,30.35584604,41.75744372
F9,85,35,19,63,116,1.987751424,27.96871297,32.13241684,39.89887019
F10,95,35,19,51,108,1.807873547,27.77175092,31.0045563,41.22369278
G1,5,25,17,76,107,2.478660792,48.93754024,47.48515418,3.577305573
G2,15,25,18,90,113,2.587585151,33.75826251,62.30720806,3.93452943
G3,25,25,18,90,115,1.288569123,23.77785168,67.07682075,9.145327569
G4,35,25,18,98,117,1.87368378,23.82142262,69.51524238,6.663334999
G5,45,25,18,88,115,1.523751467,18.53384081,71.81311711,9.653042087
G6,55,25,18,95,126,2.19702512,17.6276771,72.21306974,10.15925316
G7,65,25,18,93,120,1.576184183,18.72596556,69.57030597,11.70372847
G8,75,25,18,81,116,4.212576449,29.56945573,57.97454644,12.45599783
G9,85,25,19,71,111,2.597832382,26.20597563,51.53841874,22.25560563
G10,95,25,19,55,101,2.034201473,24.49183605,49.12806842,26.38009552
H1,5,15,15,83,107,4.182748497,29.97858672,65.07988799,4.941525284
H2,15,15,16,98,116,2.510078251,33.22091062,60.31478359,6.46430579
H3,25,15,16,102,120,1.90237999,25.87343441,71.10525159,3.021313997
H4,35,15,18,102,122,1.579872519,14.89396147,81.86822082,3.237817711
H5,45,15,16,102,120,1.93389684,18.74476987,79.30264993,1.952580195
H6,55,15,16,108,125,1.909692883,19.43521595,78.0730897,2.491694352
H7,65,15,17,100,124,1.720414311,21.07883817,75.87828492,3.042876902
H8,75,15,18,94,121,1.805711687,26.1710285,68.27248986,5.556481636
H9,85,15,17,90,116,0.938072354,23.46331791,73.50738048,3.029301608
H10,95,15,16,78,98,1.073043793,26.40586797,68.70415648,4.88997555
I1,5,5,15,98,104,1.350353062,16.65578054,58.85042456,24.49379491
I2,15,5,15,110,108,1.267145127,27.59418374,68.55034148,3.855474774
I3,25,5,15,111,110,1.470375955,26.11443779,72.49944555,1.386116656
I4,35,5,17,109,114,1.414771825,20.38505096,77.45780079,2.15714825
I5,45,5,16,115,117,1.589750051,16.51136178,81.30892049,2.179717727
I6,55,5,15,116,125,1.311961561,22.5314778,75.81179589,1.656726309
I7,65,5,17,99,125,1.274977177,24.92160423,72.60273973,2.475656049
I8,75,5,17,100,122,1.063432544,17.50041275,79.19762259,3.301964669
I9,85,5,16,100,114,1.086340472,18.46000333,77.38233827,4.157658407
I10,95,5,15,91,100,1.451141685,27.04015544,68.10233161,4.857512953
